Date;Country;Sales_C3;Market;SegmentMix
2023-03-01;ES;0;121492;11.337
2023-04-01;ES;0;112470;11.337
2023-05-01;ES;0;115339;11.337
2023-06-01;ES;0;109910;11.337
2023-07-01;ES;0;112557;11.337
2023-08-01;ES;0;86150;11.337
2023-09-01;ES;0;101164;11.337
2023-10-01;ES;0;104017;11.337
2023-11-01;ES;0;99835;11.337
2023-12-01;ES;0;89854;11.337
2024-01-01;ES;0;93153;11.7594
2024-02-01;ES;0;92318;11.7594
2024-03-01;ES;0;124347;11.7594
2024-04-01;ES;0;115113;11.7594
2024-05-01;ES;0;118049;11.7594
2024-06-01;ES;0;112493;11.7594
2024-07-01;ES;0;115202;11.7594
2024-08-01;ES;0;88174;11.7594
2024-09-01;ES;0;103541;11.7594
2024-10-01;ES;0;106462;11.7594
2024-11-01;ES;0;102181;11.7594
2024-12-01;ES;0;91966;11.7594
2025-01-01;ES;0;93743;11.447
2025-02-01;ES;0;92902;11.447
2025-03-01;ES;0;125134;11.447
2025-04-01;ES;0;115842;11.447
2025-05-01;ES;0;118797;11.447
2025-06-01;ES;0;113206;11.447
2025-07-01;ES;0;115932;11.447
2025-08-01;ES;0;88733;11.447
2025-09-01;ES;0;104197;11.447
2025-10-01;ES;0;107136;11.447
2025-11-01;ES;0;102829;11.447
2025-12-01;ES;0;92548;11.447
2026-01-01;ES;0;94333;11.6658
2026-02-01;ES;0;93487;11.6658
2026-03-01;ES;0;125922;11.6658
2026-04-01;ES;0;116571;11.6658
2026-05-01;ES;0;119545;11.6658
2026-06-01;ES;0;113919;11.6658
2026-07-01;ES;0;116662;11.6658
2026-08-01;ES;0;89291;11.6658
2026-09-01;ES;0;104853;11.6658
2026-10-01;ES;0;107810;11.6658
2026-11-01;ES;0;103476;11.6658
2026-12-01;ES;0;93131;11.6658
2027-01-01;ES;0;93153;11.4956
2027-02-01;ES;0;92318;11.4956
2027-03-01;ES;0;124347;11.4956
2027-04-01;ES;0;115113;11.4956
2027-05-01;ES;0;118049;11.4956
2027-06-01;ES;0;112493;11.4956
2027-07-01;ES;0;115202;11.4956
2027-08-01;ES;0;88174;11.4956
2027-09-01;ES;0;103541;11.4956
2027-10-01;ES;0;106462;11.4956
2027-11-01;ES;0;102181;11.4956
2027-12-01;ES;0;91966;11.4956
2007-01-01;FR;4309;154162;28.097
2007-02-01;FR;4661;166747;28.097
2007-03-01;FR;6532;233684;28.097
2007-04-01;FR;4852;173563;28.097
2007-05-01;FR;5321;190365;28.097
2007-06-01;FR;6649;237866;28.097
2007-07-01;FR;4129;147694;28.097
2007-08-01;FR;2959;105859;28.097
2007-09-01;FR;4728;169147;28.097
2007-10-01;FR;4807;171963;28.097
2007-11-01;FR;4896;175159;28.097
2007-12-01;FR;5128;183464;28.097
2008-01-01;FR;4309;152824;28.4282
2008-02-01;FR;4661;165300;28.4282
2008-03-01;FR;6532;231657;28.4282
2008-04-01;FR;4851;172057;28.4282
2008-05-01;FR;5321;188713;28.4282
2008-06-01;FR;6649;235802;28.4282
2008-07-01;FR;4128;146412;28.4282
2008-08-01;FR;2959;104941;28.4282
2008-09-01;FR;4728;167680;28.4282
2008-10-01;FR;4807;170471;28.4282
2008-11-01;FR;4896;173639;28.4282
2008-12-01;FR;5128;181872;28.4282
2009-01-01;FR;5413;168245;28.7075
2009-02-01;FR;5855;181979;28.7075
2009-03-01;FR;8206;255032;28.7075
2009-04-01;FR;6095;189418;28.7075
2009-05-01;FR;6685;207755;28.7075
2009-06-01;FR;8353;259596;28.7075
2009-07-01;FR;5186;161186;28.7075
2009-08-01;FR;3717;115530;28.7075
2009-09-01;FR;5940;184599;28.7075
2009-10-01;FR;6039;187672;28.7075
2009-11-01;FR;6151;191160;28.7075
2009-12-01;FR;6442;200224;28.7075
2010-01-01;FR;7134;164538;28.7659
2010-02-01;FR;7716;177970;28.7659
2010-03-01;FR;10813;249413;28.7659
2010-04-01;FR;8031;185245;28.7659
2010-05-01;FR;8809;203178;28.7659
2010-06-01;FR;11007;253876;28.7659
2010-07-01;FR;6834;157635;28.7659
2010-08-01;FR;4898;112984;28.7659
2010-09-01;FR;7827;180532;28.7659
2010-10-01;FR;7957;183537;28.7659
2010-11-01;FR;8105;186948;28.7659
2010-12-01;FR;8489;195813;28.7659
2011-01-01;FR;5817;161071;26.6777
2011-02-01;FR;6292;174220;26.6777
2011-03-01;FR;8818;244158;26.6777
2011-04-01;FR;6549;181342;26.6777
2011-05-01;FR;7183;198897;26.6777
2011-06-01;FR;8976;248527;26.6777
2011-07-01;FR;5573;154314;26.6777
2011-08-01;FR;3995;110604;26.6777
2011-09-01;FR;6383;176729;26.6777
2011-10-01;FR;6489;179670;26.6777
2011-11-01;FR;6609;183010;26.6777
2011-12-01;FR;6923;191687;26.6777
2012-01-01;FR;4560;138750;25.9703
2012-02-01;FR;4932;150076;25.9703
2012-03-01;FR;6912;210322;25.9703
2012-04-01;FR;5134;156211;25.9703
2012-05-01;FR;5631;171333;25.9703
2012-06-01;FR;7036;214086;25.9703
2012-07-01;FR;4369;132928;25.9703
2012-08-01;FR;3131;95276;25.9703
2012-09-01;FR;5003;152237;25.9703
2012-10-01;FR;5087;154771;25.9703
2012-11-01;FR;5181;157648;25.9703
2012-12-01;FR;5427;165123;25.9703
2013-01-01;FR;3900;130835;25.3715
2013-02-01;FR;4219;141516;25.3715
2013-03-01;FR;5912;198325;25.3715
2013-04-01;FR;4391;147301;25.3715
2013-05-01;FR;4816;161561;25.3715
2013-06-01;FR;6018;201874;25.3715
2013-07-01;FR;3737;125346;25.3715
2013-08-01;FR;2678;89841;25.3715
2013-09-01;FR;4280;143553;25.3715
2013-10-01;FR;4351;145943;25.3715
2013-11-01;FR;4432;148655;25.3715
2013-12-01;FR;4642;155704;25.3715
2014-01-01;FR;4357;131232;23.2018
2014-02-01;FR;4713;141945;23.2018
2014-03-01;FR;6605;198927;23.2018
2014-04-01;FR;4906;147747;23.2018
2014-05-01;FR;5380;162050;23.2018
2014-06-01;FR;6723;202486;23.2018
2014-07-01;FR;4174;125726;23.2018
2014-08-01;FR;2992;90114;23.2018
2014-09-01;FR;4781;143989;23.2018
2014-10-01;FR;4860;146385;23.2018
2014-11-01;FR;4951;149106;23.2018
2014-12-01;FR;5185;156176;23.2018
2015-01-01;FR;4120;140099;22.3596
2015-02-01;FR;4456;151536;22.3596
2015-03-01;FR;6245;212367;22.3596
2015-04-01;FR;4639;157730;22.3596
2015-05-01;FR;5088;173000;22.3596
2015-06-01;FR;6357;216168;22.3596
2015-07-01;FR;3947;134221;22.3596
2015-08-01;FR;2829;96202;22.3596
2015-09-01;FR;4521;153718;22.3596
2015-10-01;FR;4596;156276;22.3596
2015-11-01;FR;4681;159181;22.3596
2015-12-01;FR;4903;166728;22.3596
2016-01-01;FR;4303;147257;22.004
2016-02-01;FR;4655;159278;22.004
2016-03-01;FR;6523;223217;22.004
2016-04-01;FR;4845;165788;22.004
2016-05-01;FR;5314;181838;22.004
2016-06-01;FR;6640;227212;22.004
2016-07-01;FR;4123;141079;22.004
2016-08-01;FR;2955;101117;22.004
2016-09-01;FR;4722;161571;22.004
2016-10-01;FR;4800;164260;22.004
2016-11-01;FR;4889;167313;22.004
2016-12-01;FR;5121;175247;22.004
